CarCount,BikeCount,BusCount,TruckCount,Total
62,106,8,3,179
82,60,104,78,324
116,27,101,135,379
117,70,87,11,285
137,114,150,103,504
118,11,39,124,292
131,55,43,2,231
120,17,82,99,318
25,134,122,88,369
117,31,145,110,403
105,121,13,50,289
150,21,48,133,352
45,21,105,109,280
2,126,101,88,317
89,35,149,38,311
3,119,24,16,162
2,38,26,73,139
124,46,131,12,313
6,79,91,7,183
4,60,69,1,134
3,138,118,96,355
147,120,67,7,341
50,83,112,82,327
37,84,83,128,332
74,17,26,47,164
87,129,106,66,388
71,2,102,57,232
131,43,81,37,292
75,18,131,117,341
25,138,122,123,408
94,15,13,34,156
72,139,90,12,313
144,13,122,91,370
24,123,130,77,354
139,115,74,57,385
53,71,35,129,288
77,24,48,120,269
28,36,78,81,223
69,33,122,106,330
58,91,106,86,341
27,3,128,117,275
57,98,134,74,363
58,36,18,64,176
108,71,48,80,307
36,30,103,138,307
92,3,97,65,257
33,80,112,82,307
24,148,128,53,353
54,87,14,127,282
70,89,42,30,231
33,74,137,45,289
60,1,113,32,206
136,59,113,134,442
26,146,28,54,254
71,87,53,113,324
63,47,30,34,174
49,47,77,79,252
43,68,7,120,238
88,97,84,13,282
70,112,115,57,354
135,59,99,42,335
116,102,86,106,410
100,90,138,23,351
50,13,79,142,284
142,70,116,46,374
50,68,138,118,374
129,18,33,115,295
31,96,28,64,219
133,42,97,106,378
140,106,8,14,268
67,99,65,120,351
125,125,89,10,349
67,31,132,106,336
27,131,141,40,339
117,36,94,74,321
48,117,125,65,355
106,42,24,54,226
38,12,118,68,236
36,121,106,16,279
131,42,96,65,334
138,18,108,15,279
52,73,150,26,301
125,76,59,21,281
20,132,30,83,265
24,100,138,12,274
35,33,9,25,102
51,35,29,46,161
73,18,31,110,232
123,38,91,23,275
133,36,31,40,240
67,53,122,44,286
65,128,53,133,379
135,67,28,31,261
7,45,75,132,259
116,6,23,86,231
129,59,119,65,372
3,94,72,12,181
92,129,66,23,310
28,117,92,95,332
42,62,93,42,239
118,8,87,74,287
72,73,80,55,280
69,69,72,48,258
22,108,67,142,339
75,85,29,5,194
123,107,91,10,331
134,79,141,93,447
95,34,72,145,346
42,44,135,118,339
120,115,95,107,437
103,13,15,142,273
61,15,21,37,134
25,65,4,13,107
67,89,107,90,353
9,103,60,64,236
132,51,114,120,417
67,1,4,101,173
90,136,79,95,400
99,63,42,54,258
131,110,89,118,448
141,87,42,99,369
21,78,30,50,179
63,149,102,116,430
118,64,113,26,321
98,73,17,104,292
138,100,20,66,324
104,136,141,109,490
33,132,30,45,240
9,91,103,29,232
142,148,105,113,508
133,4,40,44,221
92,116,115,24,347
138,1,99,95,333
131,129,21,39,320
53,43,145,128,369
123,140,7,98,368
9,62,52,77,200
35,69,63,124,291
86,126,70,9,291
126,95,132,86,439
5,30,80,54,169
20,65,31,66,182
132,47,132,69,380
75,115,144,38,372
136,40,43,30,249
103,50,83,82,318
59,29,5,56,149
123,89,47,130,389
110,41,8,86,245
124,37,13,18,192
73,132,111,44,360
89,138,53,21,301
112,57,131,33,333
125,63,7,3,198
94,9,81,30,214
25,52,17,86,180
3,45,22,149,219
135,58,89,65,347
139,107,112,75,433
35,132,9,126,302
40,92,130,23,285
54,41,120,54,269
123,16,43,68,250
111,1,49,95,256
128,104,31,38,301
35,33,115,143,326
2,2,70,16,90
50,25,118,55,248
101,3,99,113,316
118,102,58,7,285
10,55,32,129,226
76,24,147,140,387
76,40,31,102,249
79,99,120,107,405
66,147,64,75,352
85,39,126,26,276
31,9,94,96,230
16,126,107,75,324
49,51,133,130,363
16,49,14,135,214
38,136,7,97,278
12,21,128,78,239
137,138,134,41,450
64,13,97,119,293
136,14,141,81,372
129,143,55,34,361
94,103,99,138,434
141,74,143,82,440
96,40,29,42,207
40,121,111,69,341
41,135,2,42,220
95,9,50,40,194
23,56,31,113,223
118,100,148,142,508
46,66,88,143,343
130,28,61,92,311
30,138,122,74,364
8,66,103,22,199
131,65,39,92,327
59,129,82,74,344
87,61,34,121,303
68,37,88,89,282
3,54,139,66,262
66,17,85,118,286
148,70,89,20,327
86,12,33,89,220
107,51,53,53,264
139,149,36,135,459
6,117,105,41,269
31,11,122,113,277
129,34,29,138,330
142,117,97,92,448
6,91,41,72,210
93,119,50,30,292
9,16,32,138,195
61,100,57,48,266
37,11,46,127,221
59,126,82,72,339
98,125,95,138,456
82,120,51,19,272
86,99,14,37,236
44,62,123,56,285
111,40,45,27,223
137,67,125,80,409
2,35,33,50,120
4,63,73,119,259
56,131,40,87,314
61,121,139,82,403
28,30,58,134,250
78,71,118,115,382
133,118,141,8,400
150,70,127,108,455
96,65,7,20,188
121,127,49,114,411
132,106,72,85,395
2,147,10,74,233
135,146,116,148,545
40,33,99,110,282
144,27,22,34,227
92,82,19,25,218
122,12,68,82,284
27,82,74,121,304
117,69,136,109,431
125,143,32,5,305
126,130,136,47,439
56,114,25,109,304
10,34,14,41,99
49,63,146,132,390
2,149,46,92,289
129,79,7,136,351
147,140,39,46,372
125,24,54,49,252
76,79,98,24,277
128,109,124,123,484
9,103,94,66,272
57,96,97,71,321
24,115,12,128,279
3,66,22,17,108
106,1,144,61,312
67,5,125,124,321
139,93,72,74,378
22,133,46,118,319
14,3,104,87,208
13,48,135,59,255
16,88,47,83,234
115,50,125,59,349
